community,,start,end
15_24,0,68645000.0,72085000.0
15_273,0,39730000.0,42825000.0
15_281,0,71840000.0,74700000.0
15_282,0,41380000.0,45400000.0
15_284,0,43635000.0,45895000.0
15_318,0,83510000.0,86040000.0
15_335,0,31895000.0,40210000.0
15_354,0,46530000.0,52255000.0
15_365,0,50475000.0,53785000.0
15_372,0,55455000.0,58555000.0
15_406,0,53030000.0,57450000.0
15_411,0,55960000.0,62485000.0
15_443,0,66285000.0,70180000.0
15_445,0,21915000.0,31465000.0
15_449,0,61875000.0,68980000.0
15_463,0,23380000.0,27655000.0
15_476,0,69730000.0,71435000.0
15_476,1,81850000.0,86455000.0
15_487,0,71110000.0,74675000.0
15_488,0,72555000.0,78570000.0
15_507,0,85125000.0,90205000.0
15_507,1,93610000.0,99570000.0
15_524,0,75665000.0,81430000.0
15_568,0,98900000.0,101660000.0
15_582,0,88175000.0,90260000.0
15_601,0,91545000.0,95150000.0
15_602,0,89560000.0,93200000.0
15_649,0,45130000.0,46525000.0
15_708,0,93960000.0,99780000.0
16_119,0,7940000.0,14770000.0
16_127,0,11920000.0,15325000.0
16_134,0,13910000.0,17830000.0
16_134,1,17830000.0,27105000.0
16_134,2,27745000.0,32100000.0
16_135,0,14200000.0,21255000.0
16_145,0,51560000.0,54210000.0
16_145,1,54920000.0,62665000.0
16_167,0,23845000.0,28180000.0
16_266,0,46510000.0,50030000.0
16_279,0,48770000.0,53200000.0
16_281,0,53540000.0,56790000.0
16_297,0,51195000.0,56100000.0
16_304,0,58815000.0,61480000.0
16_334,0,65920000.0,67105000.0
16_45,0,2485000.0,5980000.0
16_481,0,73825000.0,77635000.0
16_484,0,66405000.0,72205000.0
16_487,0,85050000.0,87900000.0
16_489,0,69105000.0,76160000.0
16_577,0,8445000.0,10300000.0
16_598,0,76565000.0,88555000.0
16_599,0,13390000.0,19435000.0
16_601,0,75310000.0,79420000.0
16_632,0,27600000.0,32135000.0
16_666,0,83835000.0,85260000.0
16_75,0,5515000.0,8495000.0
16_75,1,31445000.0,35205000.0
17_144,0,15435000.0,18880000.0
17_160,0,9690000.0,12000000.0
17_164,0,51120000.0,54260000.0
17_165,0,14470000.0,20990000.0
17_166,0,10560000.0,15330000.0
17_167,0,25290000.0,26725000.0
17_173,0,19955000.0,22150000.0
17_173,1,49225000.0,52875000.0
17_209,0,49410000.0,51685000.0
17_210,0,25370000.0,28695000.0
17_217,0,58275000.0,65295000.0
17_226,0,25355000.0,31895000.0
17_23,0,5690000.0,10475000.0
17_237,0,58495000.0,61495000.0
17_239,0,4605000.0,7495000.0
17_24,0,1870000.0,7670000.0
17_250,0,31915000.0,37655000.0
17_259,0,35965000.0,41505000.0
17_266,0,40105000.0,43185000.0
17_272,0,41005000.0,46275000.0
17_289,0,45175000.0,49835000.0
17_390,0,52705000.0,57320000.0
17_406,0,55440000.0,58555000.0
17_413,0,56045000.0,62670000.0
17_415,0,66125000.0,71915000.0
17_431,0,63115000.0,69055000.0
17_437,0,65735000.0,68050000.0
17_451,0,30855000.0,34355000.0
17_463,0,66330000.0,72595000.0
17_488,0,71875000.0,75430000.0
17_490,0,71455000.0,72950000.0
17_512,0,73975000.0,79510000.0
17_94,0,9720000.0,15310000.0
18_1092,0,41030000.0,43570000.0
18_136,0,12105000.0,14240000.0
18_142,0,48275000.0,51670000.0
18_165,0,71295000.0,74330000.0
18_194,0,5185000.0,7810000.0
18_231,0,18575000.0,25170000.0
18_275,0,21720000.0,25795000.0
18_457,0,32005000.0,34940000.0
18_539,0,28495000.0,30275000.0
